model_name,f1_score
KNN_ada 2,0.7653021442495126
SVM-rbf_ada 2,0.8917195085127633
SVM-sigmoid_ada 2,0.8833333333333333
SVM-linear_ada 2,0.8917195085127633
KNN_ada 3 small,0.7627384960718293
SVM-rbf_ada 3 small,0.9249528598365807
SVM-sigmoid_ada 3 small,0.9249528598365807
SVM-linear_ada 3 small,0.9333333333333333
KNN_ada 3 large,0.8750607681088964
SVM-rbf_ada 3 large,0.9249528598365807
SVM-sigmoid_ada 3 large,0.941695119968411
SVM-linear_ada 3 large,0.9333333333333333
KNN_BGE-small,0.833101787533574
SVM-rbf_BGE-small,0.8415677014607497
SVM-sigmoid_BGE-small,0.8415677014607497
SVM-linear_BGE-small,0.8415677014607497
